LFA	Date	Date	Vessel Code	Latitude	Longitude	Latitude (degrees)	Longitude (degrees)	Depth	Depth (m)	Gauge	Temp	Time	Soak Days
27	14/05/2012	41043	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	3.72		2
27	16/05/2012	41045	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	3.49		2
27	18/05/2012	41047	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	4.37		2
27	21/05/2012	41050	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	4.65		3
27	23/05/2012	41052	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	5.2		2
27	25/05/2012	41054	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	5.85		2
27	28/05/2012	41057	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	6.36		3
27	30/05/2012	41059	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	8.16		2
27	01/06/2012	41061	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	6.93		2
27	07/06/2012	41067	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	9.07		6
27	08/06/2012	41068	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	9.04		1
27	09/06/2012	41069	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	9.22		1
27	10/06/2012	41070	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	7.89		1
27	12/06/2012	41072	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	7.78		2
27	13/06/2012	41073	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	6.36		1
27	18/06/2012	41078	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	7.4		5
27	20/06/2012	41080	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	7.86		2
27	22/06/2012	41082	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	8.43		2
27	23/06/2012	41083	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	8.77		1
27	25/06/2012	41085	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	8.46		2
27	26/06/2012	41086	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	8.01		1
27	28/06/2012	41088	1002	4616.01	6009.51	46.26683333	60.1585	6	10.9728	6512	7.03		2
