* ID=Minilog-T
* Serial Number=4157
* Study ID=Jay MacDonald
* Start Time=2012-03-12 15:01:26
* Finish Time=2012-08-23 13:01:26
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2012-03-12,15:01:26,23.39
2012-03-12,16:01:26,23.39
2012-03-12,17:01:26,23.06
2012-03-12,18:01:26,22.73
2012-03-12,19:01:26,22.41
2012-03-12,20:01:26,21.92
2012-03-12,21:01:26,21.28
2012-03-12,22:01:26,20.64
2012-03-12,23:01:26,20.17
2012-03-13,00:01:26,19.69
2012-03-13,01:01:26,19.54
2012-03-13,02:01:26,19.23
2012-03-13,03:01:26,19.23
2012-03-13,04:01:26,18.91
2012-03-13,05:01:26,18.91
2012-03-13,06:01:26,18.76
2012-03-13,07:01:26,18.76
2012-03-13,08:01:26,18.76
2012-03-13,09:01:26,19.07
2012-03-13,10:01:26,19.54
2012-03-13,11:01:26,20.48
2012-03-13,12:01:26,20.96
2012-03-13,13:01:26,21.44
2012-03-13,14:01:26,21.44
2012-03-13,15:01:26,21.44
2012-03-13,16:01:26,21.60
2012-03-13,17:01:26,21.12
2012-03-13,18:01:26,20.32
2012-03-13,19:01:26,19.69
2012-03-13,20:01:26,19.07
2012-03-13,21:01:26,18.45
2012-03-13,22:01:26,17.99
2012-03-13,23:01:26,17.52
2012-03-14,00:01:26,17.22
2012-03-14,01:01:26,17.22
2012-03-14,02:01:26,17.07
2012-03-14,03:01:26,17.07
2012-03-14,04:01:26,17.07
2012-03-14,05:01:26,17.07
2012-03-14,06:01:26,17.07
2012-03-14,07:01:26,17.22
2012-03-14,08:01:26,17.37
2012-03-14,09:01:26,17.68
2012-03-14,10:01:26,18.76
2012-03-14,11:01:26,19.23
2012-03-14,12:01:26,19.38
2012-03-14,13:01:26,19.54
2012-03-14,14:01:26,19.54
2012-03-14,15:01:26,19.85
2012-03-14,16:01:26,19.85
2012-03-14,17:01:26,19.69
2012-03-14,18:01:26,19.38
2012-03-14,19:01:26,19.23
2012-03-14,20:01:26,18.91
2012-03-14,21:01:26,18.60
2012-03-14,22:01:26,18.29
2012-03-14,23:01:26,18.14
2012-03-15,00:01:26,17.99
2012-03-15,01:01:26,17.83
2012-03-15,02:01:26,17.68
2012-03-15,03:01:26,17.68
2012-03-15,04:01:26,17.68
2012-03-15,05:01:26,17.68
2012-03-15,06:01:26,17.68
2012-03-15,07:01:26,17.68
2012-03-15,08:01:26,17.68
2012-03-15,09:01:26,17.68
2012-03-15,10:01:26,17.83
2012-03-15,11:01:26,18.14
2012-03-15,12:01:26,18.45
2012-03-15,13:01:26,18.76
2012-03-15,14:01:26,19.07
2012-03-15,15:01:26,19.07
2012-03-15,16:01:26,19.23
2012-03-15,17:01:26,19.23
2012-03-15,18:01:26,19.23
2012-03-15,19:01:26,19.07
2012-03-15,20:01:26,18.91
2012-03-15,21:01:26,18.76
2012-03-15,22:01:26,18.60
2012-03-15,23:01:26,18.45
2012-03-16,00:01:26,18.29
2012-03-16,01:01:26,18.14
2012-03-16,02:01:26,18.14
2012-03-16,03:01:26,17.99
2012-03-16,04:01:26,17.99
2012-03-16,05:01:26,17.99
2012-03-16,06:01:26,17.83
2012-03-16,07:01:26,17.83
2012-03-16,08:01:26,17.83
2012-03-16,09:01:26,17.83
2012-03-16,10:01:26,18.14
2012-03-16,11:01:26,18.29
2012-03-16,12:01:26,18.45
2012-03-16,13:01:26,18.45
2012-03-16,14:01:26,18.45
2012-03-16,15:01:26,18.45
2012-03-16,16:01:26,18.45
2012-03-16,17:01:26,18.45
2012-03-16,18:01:26,18.45
2012-03-16,19:01:26,18.45
2012-03-16,20:01:26,18.45
2012-03-16,21:01:26,18.29
2012-03-16,22:01:26,18.29
2012-03-16,23:01:26,18.14
2012-03-17,00:01:26,18.14
2012-03-17,01:01:26,17.99
2012-03-17,02:01:26,17.83
2012-03-17,03:01:26,17.83
2012-03-17,04:01:26,17.83
2012-03-17,05:01:26,17.83
2012-03-17,06:01:26,17.83
2012-03-17,07:01:26,17.68
2012-03-17,08:01:26,17.68
2012-03-17,09:01:26,17.68
2012-03-17,10:01:26,17.68
2012-03-17,11:01:26,17.68
2012-03-17,12:01:26,17.68
2012-03-17,13:01:26,17.83
2012-03-17,14:01:26,17.83
2012-03-17,15:01:26,17.99
2012-03-17,16:01:26,17.99
2012-03-17,17:01:26,18.14
2012-03-17,18:01:26,18.14
2012-03-17,19:01:26,18.14
2012-03-17,20:01:26,18.14
2012-03-17,21:01:26,18.14
2012-03-17,22:01:26,18.14
2012-03-17,23:01:26,18.14
2012-03-18,00:01:26,18.14
2012-03-18,01:01:26,17.99
2012-03-18,02:01:26,17.99
2012-03-18,03:01:26,17.99
2012-03-18,04:01:26,17.83
2012-03-18,05:01:26,17.83
2012-03-18,06:01:26,17.83
2012-03-18,07:01:26,17.83
2012-03-18,08:01:26,17.83
2012-03-18,09:01:26,17.83
2012-03-18,10:01:26,17.99
2012-03-18,11:01:26,18.14
2012-03-18,12:01:26,18.14
2012-03-18,13:01:26,18.29
2012-03-18,14:01:26,18.29
2012-03-18,15:01:26,18.45
2012-03-18,16:01:26,18.45
2012-03-18,17:01:26,18.45
2012-03-18,18:01:26,18.60
