"Plot Title: baddeck"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10536701, SEN S/N: 10536701)","Temp, °C (LGR S/N: 10536701, SEN S/N: 10536701)","Sensor Depth, meters (LGR S/N: 10536701)"
1,11/03/14 09:41:37  AM,98.548,16.427,
2,11/03/14 09:56:37  AM,98.605,20.996,
3,11/03/14 10:11:37  AM,98.642,20.329,
4,11/03/14 10:26:37  AM,99.454,19.092,
5,11/03/14 10:41:37  AM,99.564,18.426,
6,11/03/14 10:56:37  AM,99.569,11.431,0.001
7,11/03/14 11:11:37  AM,115.468,11.139,1.580
8,11/03/14 11:26:37  AM,115.311,12.110,1.563
9,11/03/14 11:41:37  AM,115.122,12.110,1.544
10,11/03/14 11:56:37  AM,115.300,12.110,1.560
11,11/03/14 12:11:37  PM,115.405,12.110,1.569
12,11/03/14 12:26:37  PM,115.185,12.110,1.545
13,11/03/14 12:41:37  PM,115.164,12.110,1.539
14,11/03/14 12:56:37  PM,115.122,12.110,1.532
15,11/03/14 01:11:37  PM,115.153,12.110,1.533
16,11/03/14 01:26:37  PM,114.974,12.110,1.513
17,11/03/14 01:41:37  PM,115.227,12.110,1.537
18,11/03/14 01:56:37  PM,114.827,12.110,1.496
19,11/03/14 02:11:37  PM,114.848,12.110,1.498
20,11/03/14 02:26:37  PM,114.806,12.110,1.491
21,11/03/14 02:41:37  PM,114.781,12.013,1.484
22,11/03/14 02:56:37  PM,114.764,12.110,1.481
23,11/03/14 03:11:37  PM,114.897,12.013,1.492
24,11/03/14 03:26:37  PM,114.865,12.013,1.486
25,11/03/14 03:41:37  PM,115.138,12.013,1.511
26,11/03/14 03:56:37  PM,115.103,11.916,1.505
27,11/03/14 04:11:37  PM,115.040,11.916,1.497
28,11/03/14 04:26:37  PM,115.019,11.916,1.493
29,11/03/14 04:41:37  PM,115.309,11.819,1.519
30,11/03/14 04:56:37  PM,115.355,11.916,1.521
31,11/03/14 05:11:37  PM,115.628,11.916,1.547
32,11/03/14 05:26:37  PM,115.597,11.916,1.540
33,11/03/14 05:41:37  PM,115.723,11.916,1.550
34,11/03/14 05:56:37  PM,115.977,11.722,1.573
35,11/03/14 06:11:37  PM,115.924,11.722,1.566
36,11/03/14 06:26:37  PM,115.876,11.819,1.559
